id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
42,2,1126.394905,1,0,208,11.883,2.947,0.562,0.091,0.712,0.183,0.106
42,3,1070.480732,1,1,207,11.719,3.024,0.57,0.104,0.715,0.188,0.097
42,4,1425.15452,1,1,206,11.872,3.058,0.558,0.106,0.714,0.189,0.097
43,1,782.0934144,0,0,280,11.82,3.032,0.471,-0.285,0.789,0.129,0.082
43,2,817.7903303,0,0,267,11.728,3.022,0.491,-0.231,0.798,0.12,0.082
43,3,995.7421295,0,1,274,11.745,3.073,0.496,-0.233,0.781,0.128,0.091
43,4,1087.253119,0,1,275,11.838,3.08,0.487,-0.359,0.771,0.135,0.095
44,1,807.9964724,0,0,984,11.458,3.014,0.588,0.134,0.591,0.282,0.127
44,2,1050.445235,0,0,964,11.498,2.996,0.586,0.133,0.586,0.283,0.131
44,3,1316.785168,0,1,991,11.538,3,0.58,0.085,0.587,0.284,0.129
44,4,1320.041724,0,1,1009,11.67,3.008,0.549,-0.031,0.583,0.286,0.131
45,1,823.5232644,1,0,294,10.953,2.976,0.534,0.08,0.84,0.054,0.105
45,2,963.6291886,1,0,363,11.508,3.039,0.518,-0.181,0.829,0.072,0.099
45,3,1124.153043,1,1,343,11.522,2.997,0.516,-0.168,0.825,0.067,0.108
45,4,1224.453135,1,1,345,11.562,2.974,0.533,-0.201,0.829,0.07,0.101
46,1,948.7337361,1,0,600,11.43,2.992,0.557,0.173,0.658,0.252,0.09
46,2,1109.485767,1,0,609,11.57,2.982,0.524,0.096,0.665,0.25,0.085
46,3,1353.499805,1,1,626,11.503,2.979,0.51,0.038,0.677,0.248,0.075
46,4,1449.75922,1,1,644,11.545,2.953,0.511,-0.022,0.663,0.261,0.076
47,1,799.6905553,1,0,3723,11.941,3.009,0.479,-0.303,0.832,0.136,0.032
47,2,909.530617,1,0,3589,11.964,2.998,0.485,-0.3,0.834,0.135,0.031
47,3,1155.468694,1,1,3518,11.881,2.972,0.495,-0.248,0.829,0.139,0.032
47,4,1219.44836,1,1,3376,11.885,2.972,0.501,-0.25,0.825,0.142,0.033
48,1,716.4757716,0,0,314,11.788,2.917,0.506,-0.019,0.669,0.236,0.096
48,2,1223.488493,0,0,306,11.828,2.915,0.52,-0.038,0.67,0.235,0.095
48,3,1386.540534,0,1,292,11.727,2.897,0.524,-0.039,0.692,0.209,0.099
48,4,1440.130178,0,1,281,11.709,2.929,0.537,-0.092,0.687,0.21,0.103
49,1,866.0425067,0,0,504,11.014,3.119,0.581,0.265,0.821,0.06,0.119
49,2,1009.122272,0,0,481,10.952,3.089,0.57,0.235,0.832,0.054,0.114
49,3,1225.916408,0,1,488,10.996,3.076,0.553,0.185,0.84,0.047,0.113
49,4,1268.274251,0,1,481,11.057,3.025,0.559,0.107,0.838,0.048,0.114
50,1,941.0569947,1,0,1374,10.751,2.965,0.625,0.443,0.776,0.123,0.101
50,2,1186.319946,1,0,1382,10.913,2.953,0.615,0.394,0.773,0.121,0.106
50,3,1438.403223,1,1,1365,10.98,2.956,0.616,0.359,0.772,0.119,0.108
50,4,1679.624911,1,1,1332,11.042,2.953,0.616,0.324,0.769,0.12,0.111
51,1,663.3080451,0,0,298,10.931,2.993,0.658,0.546,0.691,0.168,0.141
51,2,1044.110982,0,0,295,10.943,3.044,0.644,0.504,0.695,0.153,0.153
51,3,1382.963175,0,1,296,11.065,3.024,0.615,0.388,0.706,0.149,0.145
51,4,1413.834349,0,1,299,11.069,3.043,0.589,0.298,0.719,0.144,0.137
52,1,831.4255142,0,0,411,11.11,3.005,0.504,0.16,0.547,0.299,0.153
52,2,1060.706889,0,0,427,11.162,3.028,0.525,0.167,0.543,0.302,0.155
52,3,1227.530757,0,1,428,11.001,3.014,0.523,0.112,0.528,0.313,0.159
52,4,1304.222065,0,1,408,10.967,3.007,0.525,0.097,0.525,0.316,0.159
53,1,855.3638126,1,0,895,12.06,2.943,0.47,-0.259,0.736,0.182,0.082
53,2,935.1093003,1,0,893,11.993,2.908,0.488,-0.229,0.731,0.183,0.086
53,3,1019.81995,1,1,933,11.955,2.929,0.476,-0.288,0.728,0.184,0.088
53,4,1216.964356,1,1,895,11.953,2.941,0.465,-0.338,0.73,0.182,0.088
54,1,1305.304119,1,0,330,11.711,3.003,0.512,0.1,0.639,0.282,0.079
54,2,1307.596744,1,0,325,11.615,2.929,0.511,0.103,0.662,0.255,0.083
54,3,1017.970093,1,1,356,11.565,2.955,0.537,0.036,0.657,0.256,0.087
54,4,1147.042948,1,1,392,11.498,3.087,0.526,-0.096,0.648,0.255,0.097
55,1,722.5969038,0,0,466,11.205,3.017,0.567,0.1,0.809,0.107,0.084
55,2,852.1561367,0,0,455,11.248,2.974,0.558,0.064,0.807,0.103,0.09
55,3,1061.109608,0,1,471,11.319,2.962,0.563,0.042,0.813,0.106,0.081
55,4,1034.966744,0,1,491,11.566,2.978,0.544,-0.108,0.809,0.114,0.077
56,1,836.4606868,0,0,220,11.343,2.818,0.527,0.099,0.595,0.227,0.177
56,2,1058.305527,0,0,222,11.392,2.82,0.532,0.116,0.604,0.23,0.167
56,3,1260.992659,0,1,209,11.431,2.89,0.522,0.138,0.593,0.23,0.177
56,4,1393.442448,0,1,199,11.597,2.935,0.513,0.093,0.588,0.236,0.176
57,1,909.2032509,0,0,225,11.204,2.844,0.48,-0.001,0.591,0.249,0.16
57,2,1039.249929,0,0,240,11.561,2.892,0.475,-0.091,0.592,0.254,0.154
57,3,1197.289615,0,1,240,11.525,2.817,0.483,-0.089,0.579,0.254,0.167
57,4,1222.61723,0,1,256,11.435,2.762,0.469,-0.187,0.602,0.242,0.156
58,1,900.4627101,1,0,454,11.918,2.87,0.469,-0.194,0.665,0.185,0.15
58,2,1086.890377,1,0,446,11.686,2.809,0.464,-0.182,0.659,0.179,0.161
58,3,1188.367697,1,1,442,11.75,2.878,0.459,-0.247,0.661,0.179,0.161
58,4,1123.763234,1,1,451,11.549,2.92,0.477,-0.236,0.663,0.182,0.155
59,1,860.2907753,0,0,526,12.228,3.032,0.471,-0.401,0.825,0.141,0.034
59,2,812.4826392,0,0,506,12.082,3.036,0.482,-0.424,0.822,0.142,0.036
59,3,960.9241704,0,1,518,12.061,3.023,0.494,-0.409,0.82,0.145,0.035
59,4,936.0171314,0,1,494,12.033,3.036,0.502,-0.407,0.828,0.14,0.032
60,1,826.622145,1,0,293,11.674,2.727,0.553,0.124,0.433,0.427,0.14
60,2,1167.876453,1,0,310,11.426,2.771,0.552,0.101,0.442,0.413,0.145
60,3,1179.96587,1,1,284,11.622,2.729,0.546,0.093,0.454,0.408,0.137
60,4,1206.161716,1,1,299,11.771,2.823,0.555,0.001,0.435,0.421,0.144
61,1,1219.208004,1,0,112,11.49,2.955,0.536,0.26,0.67,0.277,0.054
61,2,1255.776864,1,0,109,11.007,2.862,0.541,0.34,0.661,0.284,0.055
61,3,1447.737495,1,1,106,11.01,2.83,0.557,0.315,0.679,0.255,0.066
61,4,1831.575113,1,1,100,10.873,2.88,0.59,0.318,0.68,0.26,0.06
62,1,774.3248361,1,0,408,11.844,3.022,0.554,-0.027,0.515,0.407,0.078
62,2,993.5169801,1,0,421,11.835,2.983,0.563,-0.001,0.523,0.399,0.078
62,3,1107.947554,1,1,460,11.99,2.996,0.55,-0.111,0.528,0.398,0.074
62,4,1272.239909,1,1,450,11.825,2.998,0.553,-0.084,0.533,0.393,0.073
63,1,729.0310234,0,0,219,11.375,3.187,0.498,-0.162,0.731,0.247,0.023
63,2,888.1653688,0,0,221,11.384,3.213,0.493,-0.179,0.724,0.244,0.032
63,3,1035.436149,0,1,213,11.399,3.211,0.488,-0.177,0.737,0.239,0.023
63,4,1106.09402,0,1,221,11.299,3.222,0.484,-0.275,0.738,0.231,0.032
64,1,1365.518086,1,0,260,10.769,2.942,0.573,0.263,0.638,0.288,0.073
64,2,1250.899558,1,0,247,10.961,3,0.583,0.23,0.64,0.287,0.073
64,3,1589.124955,1,1,226,11.046,2.947,0.562,0.174,0.642,0.288,0.071
64,4,1771.064941,1,1,226,11.251,2.912,0.562,0.128,0.628,0.31,0.062
65,1,893.3522175,0,0,659,11.489,2.886,0.571,0.223,0.929,0.05,0.021
65,2,1122.722687,0,0,748,11.494,2.926,0.544,0.109,0.921,0.057,0.021
65,3,1163.048074,0,1,738,11.515,2.92,0.519,-0.01,0.919,0.06,0.022
65,4,1301.668206,0,1,730,11.493,2.958,0.526,-0.019,0.919,0.062,0.019
66,1,855.6437447,0,0,467,11.739,2.946,0.555,0.058,0.653,0.15,0.197
66,2,1030.174074,0,0,494,11.848,2.931,0.543,-0.042,0.66,0.144,0.196
66,3,1269.47893,0,1,476,11.764,2.971,0.55,-0.034,0.658,0.139,0.204
66,4,1459.97215,0,1,478,11.76,2.96,0.556,-0.038,0.636,0.165,0.199
67,1,728.771558,1,0,242,11.672,2.868,0.554,0.253,0.756,0.186,0.058
67,2,1250.835755,1,0,257,11.584,2.899,0.537,0.23,0.759,0.183,0.058
67,3,1051.001014,1,1,275,11.572,2.924,0.502,0.138,0.767,0.171,0.062
67,4,1411.555854,1,1,287,11.604,2.902,0.502,0.074,0.777,0.157,0.066
68,1,859.0465901,0,0,1253,11.532,3.022,0.54,0.034,0.674,0.273,0.053
68,2,1006.203049,0,0,1241,11.576,2.989,0.531,0.015,0.679,0.271,0.05
68,3,1101.720564,0,1,1279,11.669,3.002,0.511,-0.085,0.672,0.28,0.048
68,4,1261.061982,0,1,1274,11.625,2.985,0.509,-0.095,0.66,0.288,0.052
69,1,821.4624581,1,0,167,11.14,2.934,0.509,0.245,0.88,0.084,0.036
69,2,851.4721894,1,0,218,11.797,2.972,0.45,-0.09,0.872,0.101,0.028
69,3,1040.048928,1,1,215,11.904,2.977,0.428,-0.151,0.879,0.093,0.028
69,4,1264.33348,1,1,224,11.854,3.045,0.42,-0.204,0.871,0.098,0.031
70,1,956.7466722,0,0,1462,11.196,3.042,0.558,0.231,0.647,0.233,0.12
70,2,1183.258373,0,0,1471,11.308,3.033,0.546,0.171,0.646,0.233,0.12
70,3,1287.256444,0,1,1497,11.376,3.009,0.545,0.115,0.649,0.232,0.12
70,4,1433.882734,0,1,1519,11.344,3.02,0.542,0.109,0.652,0.235,0.113
71,1,1243.648365,1,0,436,11.587,2.86,0.546,0.104,0.665,0.181,0.154
71,2,1030.371507,1,0,447,11.531,2.843,0.553,0.114,0.685,0.174,0.141
71,3,1067.323231,1,1,471,11.667,2.866,0.518,-0.046,0.684,0.178,0.138
71,4,1354.387019,1,1,461,11.587,2.97,0.538,-0.01,0.672,0.195,0.132
72,1,703.1616048,0,0,139,10.941,3.245,0.619,0.307,0.626,0.23,0.144
72,2,1307.807378,0,0,143,10.723,3.231,0.601,0.243,0.643,0.238,0.119
72,3,1455.111215,0,1,134,10.852,3.276,0.604,0.152,0.627,0.261,0.112
72,4,1576.023981,0,1,132,11.307,3.25,0.606,0.103,0.614,0.273,0.114
73,1,834.0208407,0,0,1098,11.046,2.888,0.581,0.302,0.781,0.15,0.069
73,2,1140.889089,0,0,1191,11.245,2.898,0.572,0.222,0.772,0.163,0.065
73,3,1280.612114,0,1,1256,11.222,2.95,0.575,0.177,0.783,0.162,0.056
73,4,1369.442033,0,1,1228,11.238,2.955,0.575,0.147,0.78,0.164,0.055
74,1,950.5174877,0,0,615,10.875,3.021,0.636,0.481,0.88,0.101,0.02
74,2,1513.196501,0,0,611,10.995,3.003,0.628,0.408,0.89,0.095,0.015
74,3,1592.253868,0,1,560,11.06,3.014,0.618,0.389,0.886,0.096,0.018
74,4,1717.681798,0,1,630,11.359,2.998,0.581,0.126,0.876,0.097,0.027
75,1,750.7090603,0,0,3724,12.135,2.97,0.454,-0.46,0.735,0.187,0.078
75,2,743.9235691,0,0,3667,12.039,2.955,0.462,-0.388,0.734,0.189,0.077
75,3,875.4890515,0,1,3537,11.993,2.948,0.468,-0.375,0.738,0.185,0.077
75,4,1060.082965,0,1,3456,11.914,2.938,0.473,-0.348,0.74,0.181,0.079
76,1,935.1027986,0,0,346,10.937,2.98,0.555,0.304,0.624,0.223,0.153
76,2,1235.069231,0,0,349,10.971,3.046,0.547,0.282,0.605,0.229,0.166
76,3,1443.343374,0,1,330,10.923,3.124,0.539,0.246,0.6,0.233,0.167
76,4,1546.933955,0,1,319,10.867,3.129,0.517,0.201,0.602,0.235,0.163
77,1,879.1311051,1,0,484,11.187,3.089,0.576,0.313,0.88,0.06,0.06
77,2,1050.500119,1,0,485,11.152,3.091,0.586,0.267,0.872,0.068,0.06
77,3,1128.432447,1,1,488,11.158,3.092,0.58,0.233,0.871,0.066,0.064
77,4,1419.539176,1,1,516,11.209,3.058,0.564,0.172,0.872,0.058,0.07
78,1,918.0971878,0,0,446,11.059,3.054,0.65,0.54,0.756,0.166,0.078
78,2,1330.10736,0,0,437,10.939,3.016,0.645,0.526,0.771,0.146,0.082
78,3,1600.676664,0,1,435,10.998,3.014,0.639,0.458,0.766,0.149,0.085
